Run,FXD Converged,FXD Condition,FREE Converged,FREE Condition
001,True,ftol,False,not converged
002,True,ftol,False,not converged
003,True,ftol,False,not converged
004,True,ftol,False,not converged
005,True,ftol,False,not converged
006,True,ftol,False,not converged
007,True,ftol,False,not converged
008,True,ftol,False,not converged
009,True,ftol,False,not converged
010,True,ftol,False,not converged
011,True,ftol,False,not converged
012,True,ftol,False,not converged
