category,quantity,statistic,original,check,absolute_difference,relative_difference
DESC compute,F_rho,value,nan,nan,nan,nan
DESC compute,F_rho,max_abs,4814.959960132336,8429.5378736877,3614.577913555363,0.7506973980020425
DESC compute,F_rho,mean_abs,135.3894551743402,114.1859578119822,21.203497362358007,0.1566111432759249
DESC compute,F_rho,rms,326.62975128748184,331.7945649591141,5.16481367163226,0.015812441001696965
DESC compute,F_rho,min,-4814.959960132336,-8429.5378736877,3614.577913555363,0.7506973980020425
DESC compute,F_rho,max,4621.976691688678,2854.485434957329,1767.4912567313495,0.3824102488248554
DESC compute,F_rho,size,31213,31213,0,0.0
DESC compute,F_theta,value,nan,nan,nan,nan
DESC compute,F_theta,max_abs,3438.1755767460013,2496.187852955173,941.9877237908281,0.27397894690484514
DESC compute,F_theta,mean_abs,139.0060161113991,54.92263404785333,84.08338206354577,0.6048902372409661
DESC compute,F_theta,rms,330.3610632937437,118.46569585485841,211.8953674388853,0.6414053924099297
DESC compute,F_theta,min,-3438.1755767460013,-2496.187852955173,941.9877237908281,0.27397894690484514
DESC compute,F_theta,max,3438.1755767442723,2496.187852954191,941.9877237900814,0.27397894690476576
DESC compute,F_theta,size,31213,31213,0,0.0
DESC compute,F_zeta,value,nan,nan,nan,nan
DESC compute,F_zeta,max_abs,7456.317931263482,6046.6261521964225,1409.6917790670595,0.1890600417072325
DESC compute,F_zeta,mean_abs,179.51872895754363,72.55877057177725,106.95995838576638,0.5958150383911337
DESC compute,F_zeta,rms,492.2035381534473,208.16946408924397,284.0340740642033,0.5770662988929065
DESC compute,F_zeta,min,-7456.317931256632,-6046.6261521964225,1409.6917790602092,0.1890600417064875
DESC compute,F_zeta,max,7456.317931263482,6046.626152195506,1409.6917790679763,0.18906004170735546
DESC compute,F_zeta,size,31213,31213,0,0.0
DESC compute,|F|,value,nan,nan,nan,nan
DESC compute,|F|,max_abs,103555.28203749338,104825.20666866913,1269.9246311757452,0.012263253077867669
DESC compute,|F|,mean_abs,5524.020769890498,3323.309513130067,2200.711256760431,0.3983893885330296
DESC compute,|F|,rms,11383.704342178613,6925.268133452567,4458.436208726046,0.39165073817024226
DESC compute,|F|,min,11.67760937571962,5.9765221328078875,5.701087242911732,0.4882067090517325
DESC compute,|F|,max,103555.28203749338,104825.20666866913,1269.9246311757452,0.012263253077867669
DESC compute,|F|,size,31213,31213,0,0.0
DESC compute,p,value,nan,nan,nan,nan
DESC compute,p,max_abs,0.0,0.0,0.0,0.0
DESC compute,p,mean_abs,0.0,0.0,0.0,0.0
DESC compute,p,rms,0.0,0.0,0.0,0.0
DESC compute,p,min,0.0,0.0,0.0,0.0
DESC compute,p,max,0.0,0.0,0.0,0.0
DESC compute,p,size,31213,31213,0,0.0
DESC compute,iota,value,nan,nan,nan,nan
DESC compute,iota,max_abs,1.2327784845956313,1.2275820754804498,0.005196409115181488,0.004215201011466374
DESC compute,iota,mean_abs,1.2070619634034603,1.2146385357696634,0.007576572366203127,0.006276871110112728
DESC compute,iota,rms,1.2071624341348708,1.2146642536215957,0.007501819486724903,0.00621442423537739
DESC compute,iota,min,1.1884487708340412,1.2059998280076178,0.017551057173576634,0.014768038475280245
DESC compute,iota,max,1.2327784845956313,1.2275820754804498,0.005196409115181488,0.004215201011466374
DESC compute,iota,size,31213,31213,0,0.0
DESC compute,current,value,nan,nan,nan,nan
DESC compute,current,max_abs,3.156890455758995e-11,2.7449430278652588e-11,4.119474278937359e-12,0.13049151805132672
DESC compute,current,mean_abs,5.850990324715221e-12,5.713558985289295e-12,1.374313394259266e-13,0.02348856036308958
DESC compute,current,rms,1.0064758872037223e-11,9.031851401661687e-12,1.0329074703755362e-12,0.10262615165528191
DESC compute,current,min,-3.156890455758995e-11,-9.447327679696339e-12,2.212157687789361e-11,0.7007394519356243
DESC compute,current,max,1.1122580553130864e-11,2.7449430278652588e-11,1.6326849725521725e-11,1.4679012345679012
DESC compute,current,size,31213,31213,0,0.0
DESC compute,lambda,value,nan,nan,nan,nan
DESC compute,lambda,max_abs,0.166693019080408,0.23495902616512282,0.06826600708471481,0.4095312896803747
DESC compute,lambda,mean_abs,0.04190527713652476,0.03973922430915193,0.0021660528273728316,0.05168926148169758
DESC compute,lambda,rms,0.05408140394526113,0.05179603838488506,0.0022853655603760764,0.04225788152040626
DESC compute,lambda,min,-0.16669301908040796,-0.23495902616512268,0.06826600708471472,0.4095312896803744
DESC compute,lambda,max,0.166693019080408,0.23495902616512282,0.06826600708471481,0.4095312896803747
DESC compute,lambda,size,31213,31213,0,0.0
DESC compute,R0,value,0.9992719010657647,0.9993112610048375,3.935993907278057e-05,3.9388617883482534e-05
DESC compute,R0,max_abs,0.9992719010657647,0.9993112610048375,3.935993907278057e-05,3.9388617883482534e-05
DESC compute,R0,mean_abs,0.9992719010657647,0.9993112610048375,3.935993907278057e-05,3.9388617883482534e-05
DESC compute,R0,rms,0.9992719010657647,0.9993112610048375,3.935993907278057e-05,3.9388617883482534e-05
DESC compute,R0,min,0.9992719010657647,0.9993112610048375,3.935993907278057e-05,3.9388617883482534e-05
DESC compute,R0,max,0.9992719010657647,0.9993112610048375,3.935993907278057e-05,3.9388617883482534e-05
DESC compute,R0,size,1,1,0,0.0
DESC compute,a,value,0.05478128579259492,0.05482526394852761,4.3978155932690444e-05,0.0008027952483480263
DESC compute,a,max_abs,0.05478128579259492,0.05482526394852761,4.3978155932690444e-05,0.0008027952483480263
DESC compute,a,mean_abs,0.05478128579259492,0.05482526394852761,4.3978155932690444e-05,0.0008027952483480263
DESC compute,a,rms,0.05478128579259492,0.05482526394852761,4.3978155932690444e-05,0.0008027952483480263
DESC compute,a,min,0.05478128579259492,0.05482526394852761,4.3978155932690444e-05,0.0008027952483480263
DESC compute,a,max,0.05478128579259492,0.05482526394852761,4.3978155932690444e-05,0.0008027952483480263
DESC compute,a,size,1,1,0,0.0
DESC compute,A,value,0.009427885853841196,0.009443029253857923,1.5143400016726788e-05,0.0016062349769070364
DESC compute,A,max_abs,0.009427885853841196,0.009443029253857923,1.5143400016726788e-05,0.0016062349769070364
DESC compute,A,mean_abs,0.009427885853841196,0.009443029253857923,1.5143400016726788e-05,0.0016062349769070364
DESC compute,A,rms,0.009427885853841196,0.009443029253857923,1.5143400016726788e-05,0.0016062349769070364
DESC compute,A,min,0.009427885853841196,0.009443029253857923,1.5143400016726788e-05,0.0016062349769070364
DESC compute,A,max,0.009427885853841196,0.009443029253857923,1.5143400016726788e-05,0.0016062349769070364
DESC compute,A,size,1,1,0,0.0
DESC compute,V,value,0.05919402336601803,0.059291438192590244,9.741482657221745e-05,0.0016456868621662426
DESC compute,V,max_abs,0.05919402336601803,0.059291438192590244,9.741482657221745e-05,0.0016456868621662426
DESC compute,V,mean_abs,0.05919402336601803,0.059291438192590244,9.741482657221745e-05,0.0016456868621662426
DESC compute,V,rms,0.05919402336601803,0.059291438192590244,9.741482657221745e-05,0.0016456868621662426
DESC compute,V,min,0.05919402336601803,0.059291438192590244,9.741482657221745e-05,0.0016456868621662426
DESC compute,V,max,0.05919402336601803,0.059291438192590244,9.741482657221745e-05,0.0016456868621662426
DESC compute,V,size,1,1,0,0.0
DESC compute,S,value,2.6516054959654127,2.6479750588445143,0.0036304371208983888,0.0013691467778379292
DESC compute,S,max_abs,2.6516054959654127,2.6479750588445143,0.0036304371208983888,0.0013691467778379292
DESC compute,S,mean_abs,2.6516054959654127,2.6479750588445143,0.0036304371208983888,0.0013691467778379292
DESC compute,S,rms,2.6516054959654127,2.6479750588445143,0.0036304371208983888,0.0013691467778379292
DESC compute,S,min,2.6516054959654127,2.6479750588445143,0.0036304371208983888,0.0013691467778379292
DESC compute,S,max,2.6516054959654127,2.6479750588445143,0.0036304371208983888,0.0013691467778379292
DESC compute,S,size,1,1,0,0.0
DESC compute,R0/a,value,18.24111804985858,18.22720382966209,0.013914220196490135,0.0007627942628548477
DESC compute,R0/a,max_abs,18.24111804985858,18.22720382966209,0.013914220196490135,0.0007627942628548477
DESC compute,R0/a,mean_abs,18.24111804985858,18.22720382966209,0.013914220196490135,0.0007627942628548477
DESC compute,R0/a,rms,18.24111804985858,18.22720382966209,0.013914220196490135,0.0007627942628548477
DESC compute,R0/a,min,18.24111804985858,18.22720382966209,0.013914220196490135,0.0007627942628548477
DESC compute,R0/a,max,18.24111804985858,18.22720382966209,0.013914220196490135,0.0007627942628548477
DESC compute,R0/a,size,1,1,0,0.0
DESC compute,W,value,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W,max_abs,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W,mean_abs,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W,rms,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W,min,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W,max,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W,size,1,1,0,0.0
DESC compute,W_p,value,-0.0,-0.0,0.0,0.0
DESC compute,W_p,max_abs,0.0,0.0,0.0,0.0
DESC compute,W_p,mean_abs,0.0,0.0,0.0,0.0
DESC compute,W_p,rms,0.0,0.0,0.0,0.0
DESC compute,W_p,min,-0.0,-0.0,0.0,0.0
DESC compute,W_p,max,-0.0,-0.0,0.0,0.0
DESC compute,W_p,size,1,1,0,0.0
DESC compute,W_B,value,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W_B,max_abs,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W_B,mean_abs,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W_B,rms,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W_B,min,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W_B,max,23513.738482706252,23513.6780467458,0.06043596045128652,2.570240393535703e-06
DESC compute,W_B,size,1,1,0,0.0
DESC compute,beta_a,status,computed,computed,,
DESC compute,shear,value,nan,nan,nan,nan
DESC compute,shear,max_abs,0.07757706061327194,0.030610540182116917,0.04696652043115502,0.6054176332522704
DESC compute,shear,mean_abs,0.027568956833347955,0.012083648355917707,0.015485308477430248,0.5616936676653254
DESC compute,shear,rms,0.03785449177590976,0.01617606265063364,0.02167842912527612,0.572677854284972
DESC compute,shear,min,-0.07757706061327194,-0.030610540182116917,0.04696652043115502,0.6054176332522704
DESC compute,shear,max,-4.619672652697378e-05,-1.505997454341972e-05,3.113675198355406e-05,0.6740034267443958
DESC compute,shear,size,31213,31213,0,0.0
DESC compute,magnetic well,value,nan,nan,nan,nan
DESC compute,magnetic well,max_abs,0.004236751930572877,0.007953428388667392,0.003716676458094515,0.8772466547485495
DESC compute,magnetic well,mean_abs,0.001976401058171179,0.0027452847923149673,0.0007688837341437884,0.389032241692513
DESC compute,magnetic well,rms,0.002585527707569432,0.0038494881658844605,0.0012639604583150285,0.48885976143850157
DESC compute,magnetic well,min,-0.004236751930572877,-0.007953428388667392,0.003716676458094515,0.8772466547485495
DESC compute,magnetic well,max,-2.2140144777016336e-06,-2.38607093346516e-06,1.7205645576352622e-07,0.07771243480852838
DESC compute,magnetic well,size,31213,31213,0,0.0
DESC compute,D_Mercier,value,nan,nan,nan,nan
DESC compute,D_Mercier,max_abs,238820168.25269213,99766477.8464706,139053690.40622154,0.5822527109983896
DESC compute,D_Mercier,mean_abs,18514215.279740363,7741127.354221989,10773087.925518375,0.5818819627374158
DESC compute,D_Mercier,rms,66238663.8662444,27671166.156989027,38567497.70925537,0.5822505385545614
DESC compute,D_Mercier,min,-238820168.25269213,-99766477.8464706,139053690.40622154,0.5822527109983896
DESC compute,D_Mercier,max,-29.102284932660567,-75.06668319996302,45.96439826730246,1.5794085713083676
DESC compute,D_Mercier,size,31213,31213,0,0.0
DESC compute,mirror ratio,value,nan,nan,nan,nan
DESC compute,mirror ratio,max_abs,0.1065012058494247,0.1085203494908184,0.002019143641393703,0.018958880561863706
DESC compute,mirror ratio,mean_abs,0.055710962473908804,0.05649492021355466,0.0007839577396458533,0.014071875710512188
DESC compute,mirror ratio,rms,0.06647134734198887,0.06755236799686108,0.001081020654872214,0.016262956869378075
DESC compute,mirror ratio,min,0.0022512875870177745,0.002028151535272062,0.0002231360517457124,0.09911485899555608
DESC compute,mirror ratio,max,0.1065012058494247,0.1085203494908184,0.002019143641393703,0.018958880561863706
DESC compute,mirror ratio,size,31213,31213,0,0.0
DESC compute,curvature_k1_rho,value,nan,nan,nan,nan
DESC compute,curvature_k1_rho,max_abs,6.323265647560619,3.68010900966707,2.6431566378935485,0.4180049969770323
DESC compute,curvature_k1_rho,mean_abs,1.5703850953053733,1.550683975874499,0.01970111943087427,0.012545406531028772
DESC compute,curvature_k1_rho,rms,1.8114218424069728,1.7900047498383946,0.021417092568578155,0.011823360007694093
DESC compute,curvature_k1_rho,min,-3.099337272224227,-3.100082157696002,0.0007448854717750919,0.00024033701606167174
DESC compute,curvature_k1_rho,max,6.323265647560619,3.68010900966707,2.6431566378935485,0.4180049969770323
DESC compute,curvature_k1_rho,size,31213,31213,0,0.0
DESC compute,curvature_k2_rho,value,nan,nan,nan,nan
DESC compute,curvature_k2_rho,max_abs,3501.2402667897873,3668.9988475277723,167.75858073798508,0.04791404415435887
DESC compute,curvature_k2_rho,mean_abs,167.05075052620455,167.60320922687072,0.5524587006661648,0.0033071309103726706
DESC compute,curvature_k2_rho,rms,457.8248499645443,461.483425242631,3.658575278086687,0.007991211657405711
DESC compute,curvature_k2_rho,min,-3501.2402667897873,-3668.9988475277723,167.75858073798508,0.04791404415435887
DESC compute,curvature_k2_rho,max,1.3171648989889782,-3.3916685496311625,4.70883344862014,3.574976415052147
DESC compute,curvature_k2_rho,size,31213,31213,0,0.0
case objective,helical_qs CurrentDensity,value,nan,nan,nan,nan
case objective,helical_qs CurrentDensity,max_abs,4268.320513884114,2364.8563327802754,1903.4641811038387,0.44595155750656407
case objective,helical_qs CurrentDensity,mean_abs,220.45805214575563,101.6419173955226,118.81613475023303,0.5389512135926786
case objective,helical_qs CurrentDensity,rms,427.65674262186894,191.29035729775703,236.36638532411192,0.5527011777599995
case objective,helical_qs CurrentDensity,min,-4268.320513884114,-2364.8563327802754,1903.4641811038387,0.44595155750656407
case objective,helical_qs CurrentDensity,max,4244.948179689847,1607.6432935585767,2637.3048861312705,0.6212808200461855
case objective,helical_qs CurrentDensity,size,24843,24843,0,0.0
case objective,helical_qs Omnigenity rho=0.2,value,nan,nan,nan,nan
case objective,helical_qs Omnigenity rho=0.2,max_abs,0.04199385984152593,0.04332271725793313,0.0013288574164072031,0.03164408847917221
case objective,helical_qs Omnigenity rho=0.2,mean_abs,0.024470248774840102,0.024917889121097093,0.000447640346256991,0.018293248686431306
case objective,helical_qs Omnigenity rho=0.2,rms,0.02710778295623459,0.027750525686252383,0.0006427427300177944,0.023710634361190662
case objective,helical_qs Omnigenity rho=0.2,min,-0.04199385984152593,-0.04332271725793313,0.0013288574164072031,0.03164408847917221
case objective,helical_qs Omnigenity rho=0.2,max,0.03426163664456361,0.033331762980878546,0.000929873663685063,0.027140374913543677
case objective,helical_qs Omnigenity rho=0.2,size,1024,1024,0,0.0
case objective,helical_qs Omnigenity rho=0.4,value,nan,nan,nan,nan
case objective,helical_qs Omnigenity rho=0.4,max_abs,0.08388614366467362,0.08596929925365604,0.0020831555889824216,0.02483313093172605
case objective,helical_qs Omnigenity rho=0.4,mean_abs,0.048954505626999864,0.04975594900379115,0.0008014433767912846,0.01637118721814371
case objective,helical_qs Omnigenity rho=0.4,rms,0.05425147475510178,0.05530373082220195,0.0010522560671001671,0.019395897933654118
case objective,helical_qs Omnigenity rho=0.4,min,-0.08388614366467362,-0.08596929925365604,0.0020831555889824216,0.02483313093172605
case objective,helical_qs Omnigenity rho=0.4,max,0.06791607696974701,0.06710366102044009,0.0008124159493069216,0.011962056490229987
case objective,helical_qs Omnigenity rho=0.4,size,1024,1024,0,0.0
case objective,helical_qs Omnigenity rho=0.6,value,nan,nan,nan,nan
case objective,helical_qs Omnigenity rho=0.6,max_abs,0.12485749774399779,0.12814334456398346,0.0032858468199856716,0.026316776159673042
case objective,helical_qs Omnigenity rho=0.6,mean_abs,0.07359834669423987,0.07475045173154479,0.0011521050373049235,0.015653952691237455
case objective,helical_qs Omnigenity rho=0.6,rms,0.08142989069772809,0.08291548585213927,0.0014855951544111845,0.018243855440329516
case objective,helical_qs Omnigenity rho=0.6,min,-0.12485749774399779,-0.12814334456398346,0.0032858468199856716,0.026316776159673042
case objective,helical_qs Omnigenity rho=0.6,max,0.10189034006450998,0.1013268997737279,0.0005634402907820774,0.00552986956786429
case objective,helical_qs Omnigenity rho=0.6,size,1024,1024,0,0.0
case objective,helical_qs Omnigenity rho=0.8,value,nan,nan,nan,nan
case objective,helical_qs Omnigenity rho=0.8,max_abs,0.16497594953767103,0.17035559647444587,0.00537964693677484,0.03260867388156137
case objective,helical_qs Omnigenity rho=0.8,mean_abs,0.09854405037486909,0.09990858647597395,0.0013645361011048601,0.013846965858558286
case objective,helical_qs Omnigenity rho=0.8,rms,0.10878178829111287,0.11064711584226532,0.001865327551152443,0.017147424954631257
case objective,helical_qs Omnigenity rho=0.8,min,-0.16497594953767103,-0.17035559647444587,0.00537964693677484,0.03260867388156137
case objective,helical_qs Omnigenity rho=0.8,max,0.13635844201940892,0.1358509756682987,0.0005074663511102084,0.0037215616693389397
case objective,helical_qs Omnigenity rho=0.8,size,1024,1024,0,0.0
case objective,helical_qs Omnigenity rho=1.0,value,nan,nan,nan,nan
case objective,helical_qs Omnigenity rho=1.0,max_abs,0.21103683692627206,0.21330686531270793,0.002270028386435863,0.010756550465305359
case objective,helical_qs Omnigenity rho=1.0,mean_abs,0.12435326074971616,0.1252032786927999,0.0008500179430837446,0.006835509884976497
case objective,helical_qs Omnigenity rho=1.0,rms,0.13674276605318322,0.13849248908006323,0.0017497230268800068,0.012795726438643846
case objective,helical_qs Omnigenity rho=1.0,min,-0.21103683692627206,-0.21330686531270793,0.002270028386435863,0.010756550465305359
case objective,helical_qs Omnigenity rho=1.0,max,0.19725053429843442,0.17141167782753206,0.025838856470902366,0.13099511523659
case objective,helical_qs Omnigenity rho=1.0,size,1024,1024,0,0.0
